id,meta_title,meta_description,meta_keys,slug,title,image,logo,categories,advantages,colors,sizes,sizes_image,short_description,video_url,price,is_active,ordering,quantity
8,Dunlop Purofort FieldPRO S5 (full safety),,,dunlop-purofort-fieldpro-s5-full-safety,Dunlop Purofort FieldPRO S5 (full safety),item/Dunlop_Purofort_FieldPRO_96dpi_1024x1024px_E_NR-2394_YGWsOVP.JPG,,1,"1,2,3,5,7,9,10,11,12,14,15,17",,,,"Захисні гумові чоботи DUNLOP PUROFORT FieldPRO виготовлені з мікропінополіуритану. Purofort® – це унікальний матеріал із мільйонами повітряних кишень, рівномірно розподілених під високим тиском. 
• У гумових чобіт маслостійка підошва з гарним зчепленням. • Гумові чоботи із захистом від порізів мають сталевий захисний підносок та антипрокольний захист.
• Підходять для носіння за температури до -20 °С.
• Клас CI (із ізоляцією холоду);
• Клас CR (із захистом від порізів);
• Клас SRC (SRA + SRB - нековзна підошва на керамічній плитці, змащеній лаурилсульфатом натрію, та металевій підлозі, змащеній гліцерином)
• Клас S5 -Класифікація S5 є найсуворішою категорією щодо захисних властивостей захисного взуття. Унікальність класифікації S5 полягає в тому, що чоботи оснащені захисним носком та міжпідошвою, а також підошвою із шипами. Інші захисні властивості включають опір ковзанню, антистатичні властивості, поглинання енергії в області п'яти, стійкість до мазуту. Чоботи протестовані та сертифіковані відповідно до стандарту EN ISO 20345:2011.",,3898,1,2,100
25,Dunlop JobGUARD S5 (full safety),,,dunlop-protomastor-black-s5-full-safety,Dunlop JobGUARD S5 (full safety),item/Dunlop_JobGUARD_Combi_Green_96dpi_682x1023px_E_NR-2811_GUa51Wn.JPG,,1,"1,3,5,7,10,11,12,14,15,17",,,,"Чоботи гумові Dunlop JobGUARD (S5 full safety)

Черевики зеленого кольору з запатентованого Acifort.

• Підошва з рейтингом SRC, розроблена для максимального зчеплення на найскладніших поверхнях.
• Досконале прилягання завдяки інноваційному кріпленню Dunlop Snug-fit, яке усуває ковзання каблука та втому стопи.
• Acifort Dunlop забезпечує додатковий хімічний захист від палива та кислот
• Оснащений сталевим підноском і сталевою проміжною підошвою.
• EN ISO 20345:2011 S5 AN SRC
• Фірмова устілка Dunlop Acifort Comfort Insole в комплекті

Чудовий черевик для багатьох промислових застосувань. Верхній шар має хорошу стійкість до палива, кислот і лугів.

Підошва також стійка до масел і жирів. Антистатичні.",,1778,1,3,100
24,Dunlop Protomastor Yellow S5 (full safety),,,dunlop-protomastor-green-s5-full-safety,Dunlop Protomastor Yellow S5 (full safety),item/Dunlop_Protomastor__1024x1024px_E_NR-6.JPG,,1,"1,4,5,7,10,11,12,13",,,,"Чоботи гумові Dunlop Protomastor. Індустріальні будівельні робочі чоботи, оснащені захисним миском та міжпідошвою для максимального захисту від падінь та проникнення предметів;
• Водонепроникні для захисту у вологих умовах
• Маслостійка підошва класу SRA для ідеального зчеплення
• Стійкість до ковзання для забезпечення безпечних умов праці. 
• Чоботи, класифіковані SRA, перевірені та сертифіковані на опір ковзанню на підлогах із керамічної плитки, покритих розведеним мильним розчином. Випробування засновані на вимірі коефіцієнтів тертя при прослизу п'яти вперед і плоскому ковзанні вперед. Результати дають гарне уявлення про фактичний опір ковзанню черевиків на практиці на слизьких плиткових поверхнях.

- Чоботи оснащені захисним миском та міжпідошвою для максимального захисту від падінь та проникнення предметів. Протестована та сертифікована відповідно до стандарту EN ISO 20345: 2011, вбудована захисна підноска служить для захисту пальців ніг від ударів потужністю 200 Дж та стиснення при навантаженні 15 кН. Захисна міжпідошва розміщується в підошві та запобігає проникненню до сили 1100 Н. Чоботи Dunlop із захисним носком та міжпідошвою мають маркування «full safety»",,1186,1,4,100
7,Dunlop Protomastor Black S5 (full safety),,,dunlop-pricemastor-black,Dunlop Protomastor Black S5 (full safety),item/Dunlop_Protomastor__1024x1024px_E_NR-7.JPG,,1,"1,2,4,5,7,10,11,12,13,14",,,,"Чоботи гумові Dunlop Protomastor. Індустріальні будівельні робочі чоботи, оснащені захисним миском та міжпідошвою для максимального захисту від падінь та проникнення предметів;
• Водонепроникні для захисту у вологих умовах
• Маслостійка підошва класу SRA для ідеального зчеплення
• Стійкість до ковзання для забезпечення безпечних умов праці. 
• Чоботи, класифіковані SRA, перевірені та сертифіковані на опір ковзанню на підлогах із керамічної плитки, покритих розведеним мильним розчином. Випробування засновані на вимірі коефіцієнтів тертя при прослизу п'яти вперед і плоскому ковзанні вперед. Результати дають гарне уявлення про фактичний опір ковзанню черевиків на практиці на слизьких плиткових поверхнях.

- Чоботи оснащені захисним миском та міжпідошвою для максимального захисту від падінь та проникнення предметів. Протестована та сертифікована відповідно до стандарту EN ISO 20345: 2011, вбудована захисна підноска служить для захисту пальців ніг від ударів потужністю 200 Дж та стиснення при навантаженні 15 кН. Захисна міжпідошва розміщується в підошві та запобігає проникненню до сили 1100 Н. Чоботи Dunlop із захисним носком та міжпідошвою мають маркування «full safety»",,1186,1,5,100
11,Dunlop Protomastor Green S5 (full safety),,,dunlop-pricemastor-green,Dunlop Protomastor Green S5 (full safety),item/Protomastor.JPG,,1,"1,4,5,7,10,11,12,13",,,,"Чоботи гумові Dunlop Protomastor. Індустріальні будівельні робочі чоботи, оснащені захисним миском та міжпідошвою для максимального захисту від падінь та проникнення предметів;
• Водонепроникні для захисту у вологих умовах
• Маслостійка підошва класу SRA для ідеального зчеплення
• Стійкість до ковзання для забезпечення безпечних умов праці. 
• Чоботи, класифіковані SRA, перевірені та сертифіковані на опір ковзанню на підлогах із керамічної плитки, покритих розведеним мильним розчином. Випробування засновані на вимірі коефіцієнтів тертя при прослизу п'яти вперед і плоскому ковзанні вперед. Результати дають гарне уявлення про фактичний опір ковзанню черевиків на практиці на слизьких плиткових поверхнях.

- Чоботи оснащені захисним миском та міжпідошвою для максимального захисту від падінь та проникнення предметів. Протестована та сертифікована відповідно до стандарту EN ISO 20345: 2011, вбудована захисна підноска служить для захисту пальців ніг від ударів потужністю 200 Дж та стиснення при навантаженні 15 кН. Захисна міжпідошва розміщується в підошві та запобігає проникненню до сили 1100 Н. Чоботи Dunlop із захисним носком та міжпідошвою мають маркування «full safety»",,1186,1,6,100
13,Dunlop Pricemastor Black,,,dunlop-dee,Dunlop Pricemastor Black,item/Dunlop_Pricemastor_1024x1024px_E_NR-15_7TKwJE5.JPG,,1,"1,2,7,11,14",,,,"DUNLOP® PRICEMASTOR – найбюджетніші чоботи в лінійці захисного водонепроникного взуття від всесвітньо відомого виробника автомобільних шин DUNLOP®.



На відміну від конкурентів на ринку ПВХ-взуття, чоботи виготовлені з додаванням нітрильного каучуку, що забезпечує їм максимальний термін служби, гнучкість та еластичність. Безшовна підкладка, що має антибактеріальні властивості, запобігає появі неприємних запахів та гарантує високий рівень комфорту навіть при щоденному носінні. Недороге практичне взуття - Ваш незамінний ""супутник"" на незабродній рибалці, в лісі або на дачі.



особливості:

100% водонепроникність
Зручна посадка на нозі та еластична халява
Технологія Comfort Fit для щоденного комфорту
Антибактеріальна безшовна підкладка
Технічні характеристики:

стійкість до холоду: до 0°C
рівень хімічного захисту: 1
нафто- та маслостійкість: ні
енергопоглинання: ні
стандарт безпеки: CE",,739,1,7,100
14,Dunlop Pricemastor Green,,,dunlop-purofort-fieldpro,Dunlop Pricemastor Green,item/Dunlop_Pricemastor_1024x1024px_E_NR-16.JPG,,1,"1,2,7,11,14",,,,"DUNLOP® PRICEMASTOR – найбюджетніші чоботи в лінійці захисного водонепроникного взуття від всесвітньо відомого виробника автомобільних шин DUNLOP®.



На відміну від конкурентів на ринку ПВХ-взуття, чоботи виготовлені з додаванням нітрильного каучуку, що забезпечує їм максимальний термін служби, гнучкість та еластичність. Безшовна підкладка, що має антибактеріальні властивості, запобігає появі неприємних запахів та гарантує високий рівень комфорту навіть при щоденному носінні. Недороге практичне взуття - Ваш незамінний ""супутник"" на незабродній рибалці, в лісі або на дачі.



особливості:

100% водонепроникність
Зручна посадка на нозі та еластична халява
Технологія Comfort Fit для щоденного комфорту
Антибактеріальна безшовна підкладка
Технічні характеристики:

стійкість до холоду: до 0°C
рівень хімічного захисту: 1
нафто- та маслостійкість: ні
енергопоглинання: ні
стандарт безпеки: CE",,739,1,8,100
9,Dunlop Dee,,,dunlop-dee-1,Dunlop Dee,item/Dunlop_Dee_1024x1024px_E_NR-101_Qznk7Ph.JPG,,1,"1,2,7,10,14",,,,"Взуття ідеально підходить для прогулянок лісом, а також для використання на фермі, в саду, у будівництві або для повсякденного використання в дощові дні. Ідеально підходить до грибів та риби.

Чоботи Wellington заввишки 25 см. Легко вдягати та знімати;
Підошва зі спеціальним протектором, завдяки якому взуття стійке, не звалюється і не ковзає по глиняних, брудних поверхнях;
Без сталевих елементів;

Товар офіційно розповсюджується.

Розмір / довжина устілки в см (інформація надана виробником)

37  /  24 см
38  /  24,5 см
39  /  25 см
40  /  26 см
41  /  26,5 см
42  /  27 см
43  /  28 см
44  /  28,5 см
45  /  29 см
46  /  30 см
47  /  30,5 см",,655,1,9,100
26,Dunlop JobGUARD,,,dunlop-pricemastor-black-1,Dunlop JobGUARD,item/Dunlop_JobGUARD_Combi_Green_96dpi_682x1023px_E_NR-2811_Ahz15o9.JPG,,2,"1,3,7,10,11,12,14,15,17",,,,"DUNLOP PUROFORT JobGUARD
Захисні гумові чоботи DUNLOP ACIFORT JobGUARD виготовлені за запатентованою технологією. Acifort® – це унікальний матеріал від Dunlop, що забезпечує додаткові можливості

для хімічного захисту від палива та кислоти. У гумових чобіт підвищений анти-статичний захист. Маслостійка підошва з гарним зчепленням, що підтверджено SRC сертифікатом.

• Клас EN ISO 20347;
• Клас O4
• Клас CR (із захистом від порізів);
• Клас SRC (SRA + SRB - нековзна підошва на керамічній плитці, змащеній лаурилсульфатом натрію, та металевій підлозі, змащеній гліцерином)
• Фірмова устілка Dunlop Acifort Comfort Insole в комплекті


За всіма важливими параметрами Acifort перевершує гумові та поліурітанові чоботи.


Підошва з рейтингом SRC, розроблена для максимального зчеплення на найскладніших поверхнях. Досконале прилягання завдяки інноваційному кріпленню Dunlop Snug-fit, яке усуває ковзання каблука та втому стопи. Надміцний захист для кожного виду робіт.",,1648,1,10,100
6,Dunlop Dee,,,dunlop-pricemastor-green-1,Dunlop Dee,item/Dunlop_Dee_1024x1024px_E_NR-101.JPG,,2,"1,2,7,11,14",,,,"Взуття ідеально підходить для прогулянок лісом, а також для використання на фермі, в саду, у будівництві або для повсякденного використання в дощові дні. Ідеально підходить до грибів та риби.

Чоботи Wellington заввишки 25 см. Легко вдягати та знімати;
Підошва зі спеціальним протектором, завдяки якому взуття стійке, не звалюється і не ковзає по глиняних, брудних поверхнях;
Без сталевих елементів;
Якість - Зроблено у Португалії;
Товар офіційно розповсюджується.
штрих-код 8713197350125

СПЕЦИФІКАЦІЯ
МОДЕЛЬ :                       K580011
СЕГМЕНТ:                       LEISURE
МАТЕРІАЛ ВЕРХУ:        ПВХ
МАТЕРІАЛ ПІДОШВИ: ПВХ
СТИЛЬ ЧОБІТ :              CALF
КОЛІР ВЕРХУ:                ЗЕЛЕНИЙ
КОЛІР ПІДОШВИ:         ЧОРНИЙ
РОЗМІРИ:                       37-46

КОД ХІМІЧНОЇ СТІЙКОСТІ: 1
МАСЛОСТІЙКА ПІДОШВА: НІ
СТІЙКІСТЬ ДО ПОРІЗІВ:      НІ
ЕНЕРГОПОГЛИНАННЯ:       НІ
ТЕРМОСТІЙКА ПІДОШВА:  НІ
БЕНЗО МАСЛО СТІЙКІСТЬ:НІ
ЗАХИСТ ЩИКОЛОТКИ:        НІ

Розмір / довжина устілки в см (інформація надана виробником)

37  /  24 см
38  /  24,5 см
39  /  25 см
40  /  26 см
41  /  26,5 см
42  /  27 см
43  /  28 см
44  /  28,5 см
45  /  29 см
46  /  30 см
47  /  30,5 см",,655,1,11,100
